iter	Passed	Remaining
196	2183	8899
197	2193	8885
198	2205	8876
199	2222	8890
200	2234	8881
201	2244	8867
202	2251	8837
203	2262	8829
204	2271	8809
205	2282	8797
206	2299	8808
207	2319	8832
208	2337	8846
209	2359	8877
210	2377	8889
211	2392	8892
212	2399	8866
213	2406	8838
214	2416	8824
215	2423	8796
216	2429	8764
217	2444	8767
218	2453	8749
219	2463	8735
220	2474	8721
221	2494	8741
222	2507	8737
223	2519	8728
224	2528	8709
225	2537	8690
226	2547	8675
227	2556	8655
228	2564	8633
229	2574	8620
230	2582	8596
231	2603	8619
232	2614	8605
233	2623	8587
234	2636	8581
235	2643	8558
236	2653	8541
237	2662	8523
238	2672	8508
239	2680	8487
240	2686	8461
241	2697	8448
242	2706	8431
243	2717	8420
244	2729	8411
245	2736	8387
246	2745	8368
247	2760	8371
248	2773	8363
249	2786	8360
250	2802	8362
251	2814	8354
252	2823	8336
253	2829	8309
254	2836	8286
255	2850	8285
256	2862	8275
257	2870	8255
258	2881	8243
259	2888	8219
260	2897	8203
261	2903	8177
262	2912	8162
263	2921	8146
264	2932	8132
265	2940	8113
266	2948	8095
267	2961	8088
268	2970	8071
269	2980	8058
270	2991	8048
271	3002	8035
272	3011	8020
273	3019	8001
274	3030	7988
275	3036	7965
276	3044	7946
277	3053	7930
278	3060	7909
279	3067	7888
280	3076	7870
281	3085	7855
282	3094	7841
283	3112	7846
284	3120	7829
285	3128	7810
286	3140	7802
287	3149	7785
288	3156	7766
289	3165	7750
290	3175	7737
291	3187	7727
292	3193	7705
293	3200	7685
294	3209	7669
295	3220	7659
296	3230	7647
297	3242	7637
298	3251	7623
299	3265	7619
300	3286	7632
301	3312	7655
302	3335	7671
303	3350	7670
304	3371	7682
305	3390	7689
306	3408	7693
307	3422	7689
308	3432	7676
309	3440	7658
310	3449	7642
311	3457	7623
312	3464	7605
313	3473	7588
314	3484	7577
315	3495	7567
316	3504	7551
317	3519	7548
318	3534	7545
319	3552	7548
320	3573	7558
321	3579	7537
322	3589	7523
323	3595	7501
324	3604	7486
325	3610	7464
326	3622	7455
327	3632	7441
328	3644	7432
329	3651	7413
330	3657	7393
331	3666	7377
332	3675	7361
333	3682	7343
334	3692	7329
335	3699	7310
336	3708	7295
337	3721	7289
338	3730	7274
339	3739	7259
340	3745	7238
341	3752	7219
342	3763	7208
343	3771	7193
344	3780	7177
345	3788	7161
346	3797	7146
347	3807	7133
348	3813	7112
349	3822	7098
350	3829	7080
351	3837	7063
352	3843	7044
353	3854	7033
354	3861	7016
355	3878	7016
356	3887	7002
357	3895	6985
358	3904	6971
359	3910	6952
360	3921	6940
361	3929	6925
362	3936	6907
363	3944	6891
364	3953	6877
365	3959	6859
366	3966	6842
367	3977	6830
368	3987	6818
369	3995	6803
370	4007	6793
371	4013	6775
372	4023	6762
373	4030	6745
374	4040	6734
375	4049	6719
376	4060	6710
377	4066	6691
378	4076	6678
379	4082	6660
380	4094	6651
381	4102	6636
382	4108	6618
383	4119	6607
384	4129	6596
385	4139	6584
386	4145	6566
387	4158	6559
388	4166	6544
389	4175	6530
390	4182	6514
391	4193	6504
392	4201	6489
393	4208	6473
394	4215	6457
395	4226	6445
396	4234	6431
397	4248	6425
398	4258	6413
399	4267	6401
400	4273	6384
401	4286	6376
402	4296	6364
403	4308	6356
404	4316	6342
405	4324	6326
406	4338	6320
407	4350	6312
408	4356	6295
409	4367	6284
410	4377	6274
411	4388	6263
412	4396	6248
413	4405	6236
414	4414	6223
415	4423	6209
416	4433	6198
417	4441	6184
418	4459	6183
419	4474	6179
420	4492	6178
421	4502	6166
422	4509	6151
423	4515	6134
424	4523	6120
425	4533	6108
426	4541	6093
427	4550	6082
428	4556	6065
429	4566	6053
430	4573	6038
431	4585	6028
432	4591	6012
433	4600	5999
434	4606	5983
435	4615	5970
436	4628	5962
437	4649	5966
438	4655	5949
439	4664	5936
440	4673	5924
441	4679	5908
442	4688	5894
443	4702	5888
444	4712	5877
445	4719	5862
446	4725	5846
447	4738	5838
448	4745	5823
449	4761	5819
450	4768	5804
451	4777	5791
452	4788	5781
453	4796	5768
454	4808	5759
455	4815	5745
456	4825	5734
457	4836	5723
458	4846	5712
459	4855	5699
460	4861	5684
461	4868	5669
462	4878	5658
463	4885	5643
464	4895	5632
465	4900	5615
466	4910	5603
467	4915	5587
468	4922	5573
469	4931	5560
470	4944	5553
471	4959	5547
472	4965	5532
473	4973	5518
474	4990	5515
475	5004	5509
476	5014	5498
477	5025	5487
478	5033	5474
479	5047	5468
480	5056	5456
481	5065	5443
482	5075	5432
483	5081	5417
484	5087	5402
485	5094	5388
486	5100	5372
487	5109	5360
488	5116	5346
489	5126	5335
490	5137	5326
491	5143	5311
492	5151	5298
493	5165	5290
494	5176	5281
495	5184	5268
496	5195	5258
497	5202	5244
498	5214	5235
499	5222	5222
500	5229	5208
501	5241	5199
502	5251	5189
503	5258	5174
504	5268	5164
505	5277	5152
506	5290	5144
507	5307	5140
508	5316	5128
509	5325	5116
510	5340	5110
511	5355	5104
512	5372	5100
513	5393	5099
514	5412	5097
515	5427	5090
516	5458	5099
517	5476	5095
518	5484	5083
519	5494	5072
520	5502	5059
521	5510	5045
522	5519	5033
523	5526	5020
524	5540	5013
525	5561	5011
526	5575	5004
527	5588	4996
528	5599	4985
529	5605	4970
530	5612	4957
531	5620	4944
532	5636	4938
533	5645	4926
534	5654	4915
535	5661	4900
536	5670	4889
537	5679	4877
538	5687	4864
539	5696	4852
540	5707	4842
541	5716	4830
542	5724	4817
543	5729	4803
544	5738	4790
545	5746	4778
546	5757	4767
547	5765	4755
548	5775	4744
549	5781	4730
550	5790	4718
551	5800	4707
552	5808	4694
553	5819	4685
554	5828	4672
555	5835	4659
556	5843	4647
557	5856	4639
558	5864	4626
559	5872	4614
560	5880	4601
561	5890	4590
562	5899	4579
563	5907	4567
564	5915	4554
565	5930	4547
566	5941	4537
567	5957	4531
568	5964	4517
569	5970	4504
570	5978	4492
571	5984	4478
572	5995	4468
573	6008	4459
574	6018	4448
575	6024	4434
576	6033	4422
577	6041	4410
578	6049	4398
579	6056	4385
580	6062	4371
581	6069	4358
582	6086	4353
583	6099	4344
584	6105	4331
585	6114	4319
586	6125	4309
587	6134	4298
588	6147	4289
589	6155	4277
590	6164	4265
591	6171	4253
592	6177	4240
593	6186	4228
594	6197	4218
595	6205	4206
596	6213	4194
597	6222	4182
598	6229	4170
599	6244	4162
600	6252	4151
601	6264	4141
602	6271	4128
603	6285	4120
604	6294	4109
605	6303	4098
606	6313	4087
607	6319	4074
608	6330	4064
609	6336	4051
610	6345	4039
611	6351	4026
612	6362	4017
613	6369	4004
614	6379	3993
615	6387	3981
616	6396	3970
617	6404	3958
618	6413	3947
619	6422	3936
620	6432	3925
621	6443	3916
622	6452	3904
623	6458	3891
624	6465	3879
625	6473	3867
626	6483	3856
627	6493	3846
628	6504	3836
629	6519	3828
630	6529	3818
631	6538	3807
632	6548	3796
633	6558	3785
634	6569	3775
635	6577	3764
636	6587	3754
637	6597	3743
638	6608	3733
639	6615	3720
640	6624	3709
641	6636	3700
642	6644	3689
643	6652	3677
644	6665	3668
645	6679	3660
646	6686	3648
647	6701	3640
648	6711	3629
649	6724	3620
650	6733	3609
651	6742	3598
652	6749	3586
653	6760	3576
654	6766	3563
655	6775	3553
656	6796	3548
657	6814	3541
658	6830	3534
659	6846	3527
660	6866	3521
661	6882	3514
662	6893	3504
663	6905	3494
664	6913	3482
665	6923	3471
666	6934	3461
667	6940	3449
668	6950	3438
669	6959	3427
670	6967	3416
671	6976	3404
672	6984	3393
673	6991	3381
674	7002	3371
675	7009	3359
676	7016	3347
677	7028	3337
678	7037	3326
679	7044	3314
680	7053	3303
681	7059	3291
682	7068	3280
683	7082	3272
684	7088	3259
685	7097	3248
686	7110	3239
687	7120	3229
688	7129	3217
689	7136	3206
690	7145	3195
691	7153	3183
692	7163	3173
693	7173	3163
694	7183	3152
695	7200	3144
696	7212	3135
697	7225	3126
698	7239	3117
699	7249	3107
700	7256	3095
701	7264	3083
702	7270	3071
703	7281	3061
704	7286	3049
705	7297	3038
706	7308	3028
707	7315	3017
708	7322	3005
709	7339	2997
710	7347	2986
711	7359	2977
712	7371	2967
713	7387	2959
714	7405	2951
715	7418	2942
716	7434	2934
717	7446	2924
718	7468	2918
719	7477	2908
720	7494	2900
721	7525	2897
722	7553	2893
723	7566	2884
724	7577	2874
725	7584	2862
726	7591	2850
727	7597	2838
728	7605	2827
729	7613	2816
730	7622	2805
731	7632	2794
732	7638	2782
733	7646	2771
734	7654	2759
735	7661	2748
736	7670	2737
737	7683	2727
738	7694	2717
739	7703	2706
740	7709	2694
741	7718	2683
742	7728	2673
743	7746	2665
744	7754	2654
745	7763	2643
746	7771	2631
747	7794	2626
748	7811	2617
749	7826	2608
750	7834	2597
751	7844	2587
752	7857	2577
753	7875	2569
754	7888	2559
755	7899	2549
756	7908	2538
757	7919	2528
758	7926	2516
759	7935	2505
760	7942	2494
761	7951	2483
762	7960	2472
763	7968	2461
764	7989	2454
765	8003	2445
766	8018	2435
767	8027	2424
768	8041	2415
769	8047	2403
770	8055	2392
771	8066	2382
772	8076	2371
773	8084	2360
774	8090	2348
775	8098	2337
776	8107	2326
777	8113	2315
778	8120	2303
779	8129	2292
780	8141	2282
781	8148	2271
782	8158	2260
783	8168	2250
784	8175	2239
785	8185	2228
786	8194	2217
787	8202	2206
788	8209	2195
789	8217	2184
790	8234	2175
791	8240	2164
792	8248	2153
793	8257	2142
794	8267	2131
795	8277	2121
796	8286	2110
797	8293	2099
798	8303	2088
799	8312	2078
800	8321	2067
801	8330	2056
802	8338	2045
803	8348	2035
804	8359	2024
805	8371	2015
806	8378	2003
807	8387	1993
808	8397	1982
809	8407	1972
810	8414	1960
811	8420	1949
812	8431	1939
813	8441	1928
814	8450	1918
815	8460	1907
816	8475	1898
817	8484	1887
818	8494	1877
819	8504	1866
820	8510	1855
821	8519	1844
822	8531	1834
823	8537	1823
824	8549	1813
825	8559	1803
826	8567	1792
827	8574	1781
828	8583	1770
829	8589	1759
830	8596	1748
831	8606	1737
832	8616	1727
833	8626	1717
834	8636	1706
835	8647	1696
836	8653	1685
837	8659	1674
838	8667	1663
839	8678	1652
840	8691	1643
841	8697	1632
842	8704	1621
843	8714	1610
844	8720	1599
845	8726	1588
846	8734	1577
847	8741	1566
848	8747	1555
849	8755	1545
850	8765	1534
851	8776	1524
852	8784	1513
853	8792	1503
854	8800	1492
855	8807	1481
856	8814	1470
857	8825	1460
858	8838	1450
859	8846	1440
860	8853	1429
861	8863	1418
862	8871	1408
863	8877	1397
864	8886	1386
865	8891	1375
866	8900	1365
867	8906	1354
868	8915	1344
869	8927	1334
870	8936	1323
871	8943	1312
872	8956	1302
873	8967	1292
874	8973	1281
875	8983	1271
876	8989	1260
877	8998	1250
878	9009	1240
879	9019	1229
880	9030	1219
881	9037	1209
882	9044	1198
883	9053	1187
884	9062	1177
885	9070	1167
886	9079	1156
887	9088	1146
888	9100	1136
889	9107	1125
890	9116	1115
891	9122	1104
892	9137	1094
893	9149	1084
894	9158	1074
895	9171	1064
896	9179	1054
897	9188	1043
898	9196	1033
899	9206	1022
900	9213	1012
901	9220	1001
902	9230	991
903	9240	981
904	9248	970
905	9259	960
906	9269	950
907	9276	939
908	9283	929
909	9290	918
910	9300	908
911	9308	898
912	9314	887
913	9322	877
914	9332	866
915	9339	856
916	9347	846
917	9357	835
918	9365	825
919	9373	815
920	9382	804
921	9388	794
922	9399	784
923	9405	773
924	9415	763
925	9425	753
926	9438	743
927	9447	732
928	9456	722
929	9473	713
930	9484	702
931	9496	692
932	9512	683
933	9524	673
934	9538	663
935	9553	653
936	9570	643
937	9589	633
938	9606	624
939	9615	613
940	9622	603
941	9629	592
942	9638	582
943	9647	572
944	9660	562
945	9667	551
946	9685	542
947	9696	531
948	9706	521
949	9719	511
950	9730	501
951	9740	491
952	9746	480
953	9753	470
954	9761	459
955	9772	449
956	9782	439
957	9792	429
958	9806	419
959	9816	409
960	9826	398
961	9836	388
962	9849	378
963	9859	368
964	9868	357
965	9874	347
966	9881	337
967	9888	326
968	9894	316
969	9906	306
970	9913	296
971	9933	286
972	9944	275
973	9954	265
974	9961	255
975	9968	245
976	9976	234
977	9986	224
978	9994	214
979	10002	204
980	10013	193
981	10022	183
982	10030	173
983	10036	163
984	10042	152
985	10049	142
986	10059	132
987	10068	122
988	10075	112
989	10084	101
990	10094	91
991	10106	81
992	10113	71
993	10122	61
994	10128	50
995	10138	40
996	10146	30
997	10156	20
998	10162	10
999	10171	0
