iter	RMSE
570	0.3718184163
571	0.3717973157
572	0.3717550708
573	0.3717286336
574	0.3716864312
575	0.3716464071
576	0.3716192167
577	0.3715842532
578	0.3715468343
579	0.3715146309
580	0.3714957784
581	0.371468794
582	0.3714416681
583	0.3713858267
584	0.3713541627
585	0.3713250734
586	0.3713006411
587	0.3712845113
588	0.3712447402
589	0.3711990761
590	0.3711448505
591	0.3711279258
592	0.3711086965
593	0.3710931152
594	0.3710549052
595	0.3710248165
596	0.3709778043
597	0.3709514431
598	0.3709024328
599	0.3708757791
600	0.3708359246
601	0.3707786594
602	0.3707411965
603	0.3706699844
604	0.3706523799
605	0.3706172057
606	0.370550517
607	0.370506571
608	0.3704679689
609	0.3704449462
610	0.3704208588
611	0.3704024412
612	0.3703672636
613	0.3703335082
614	0.3702922939
615	0.3702631361
616	0.3702245524
617	0.3701880563
618	0.3701582666
619	0.3701411916
620	0.3701293545
621	0.3700731546
622	0.3700281616
623	0.3699986353
624	0.3699714492
625	0.3699268703
626	0.3698941207
627	0.3698572446
628	0.3698218363
629	0.3697946873
630	0.3697714165
631	0.3697173913
632	0.36970319
633	0.3696677844
634	0.3696447293
635	0.369612926
636	0.3695874308
637	0.3695576071
638	0.3695388441
639	0.3694941427
640	0.3694676828
641	0.369449044
642	0.3694363395
643	0.3694077456
644	0.369338936
645	0.3693071156
646	0.3692855443
647	0.3692597027
648	0.3692259994
649	0.3691893255
650	0.3691266631
651	0.3690623108
652	0.3690200803
653	0.3689873839
654	0.3689712475
655	0.3689483123
656	0.368914594
657	0.3688440255
658	0.3687895899
659	0.3687600726
660	0.3687279193
661	0.3687022596
662	0.3686869852
663	0.3686573465
664	0.3686210725
665	0.368580685
666	0.3685581343
667	0.3685308733
668	0.3685124631
669	0.368489472
670	0.368454661
671	0.3684523293
672	0.3684295853
673	0.3684106638
674	0.3683979616
675	0.3683712343
676	0.3683362341
677	0.3683168807
678	0.3682945632
679	0.3682712718
680	0.3682533678
681	0.3682360001
682	0.3682002756
683	0.3681387208
684	0.368119746
685	0.3680933981
686	0.3680569494
687	0.3680283413
688	0.3679922005
689	0.3679591905
690	0.3679202643
691	0.3679041672
692	0.3678790071
693	0.3678698448
694	0.3678602404
695	0.3678265801
696	0.3677988432
697	0.367764945
698	0.3677193113
699	0.3676873761
700	0.3676630694
701	0.3676364313
702	0.367611503
703	0.3675806518
704	0.3675634832
705	0.3675409106
706	0.3675123043
707	0.3674780381
708	0.3674444355
709	0.3674041094
710	0.3673864918
711	0.36736014
712	0.367349029
713	0.3673312589
714	0.3673168956
715	0.3672854592
716	0.3672492247
717	0.3672194225
718	0.3671576911
719	0.36712318
720	0.3671033178
721	0.3670789654
722	0.3670450184
723	0.3670303023
724	0.3669980609
725	0.3669553507
726	0.3669425455
727	0.3669247523
728	0.36689029
729	0.366853462
730	0.3668323082
731	0.3668022949
732	0.3667832558
733	0.3667491214
734	0.366695267
735	0.3666646126
736	0.3666408984
737	0.3665960671
738	0.3665684584
739	0.3665302937
740	0.3665126723
741	0.3664826451
742	0.366454622
743	0.3664188847
744	0.3663915755
745	0.3663688375
746	0.3663438116
747	0.3663223525
748	0.3662948525
749	0.3662584821
750	0.3662312014
751	0.366205819
752	0.3661787013
753	0.3661539551
754	0.3661341626
755	0.3661155509
756	0.3660897468
757	0.366045283
758	0.3660039905
759	0.3659754876
760	0.3659218874
761	0.3658942288
762	0.3658463793
763	0.365827759
764	0.3657960938
765	0.3657706057
766	0.3657458441
767	0.3657309115
768	0.3656941634
769	0.3656609983
770	0.3656377143
771	0.365606773
772	0.3655786327
773	0.3655469921
774	0.3655096495
775	0.3654963795
776	0.3654617495
777	0.3654409199
778	0.3654281459
779	0.3653977063
780	0.3653725734
781	0.3653374334
782	0.3653038706
783	0.3652879447
784	0.3652589169
785	0.3652311443
786	0.365202447
787	0.3651715616
788	0.365155332
789	0.3651377628
790	0.3651060919
791	0.3650948092
792	0.3650816111
793	0.3650516704
794	0.3650125416
795	0.3649886485
796	0.3649683098
797	0.3649371796
798	0.3649207019
799	0.3648874173
800	0.3648765122
801	0.3648483051
802	0.3648230888
803	0.3647731615
804	0.364753457
805	0.3647403957
806	0.3647249422
807	0.3646956927
808	0.3646648588
809	0.3646214889
810	0.3645975987
811	0.364588163
812	0.3645316186
813	0.364490054
814	0.3644551315
815	0.3644284552
816	0.3643798652
817	0.3643667678
818	0.3643491647
819	0.3643240108
820	0.3643119682
821	0.3642866554
822	0.3642526013
823	0.3642212521
824	0.3641724368
825	0.3641557737
826	0.3641315402
827	0.3640972375
828	0.3640695672
829	0.3640514376
830	0.3640338536
831	0.3640031976
832	0.3639803213
833	0.3639587376
834	0.3639302644
835	0.3638796891
836	0.3638662432
837	0.363848351
838	0.3638205582
